step,loss,fit,kl,normW,logdetV,sigma2,rhoW,val_bound
0,-1275.5693227130616,-1281.5008568679866,5.769568248467797,0.0,-14.594343830638646,0.1269380110429725,0.0,nan
1,-1276.2664078343334,-1282.1620628317976,5.732958838540182,0.04999699174288473,-14.651575357605786,0.12681886060441966,0.007531097258024566,nan
2,-1276.9551055662478,-1282.7754224458818,5.656874406962746,0.08507277224441731,-14.706368047502789,0.12669981495146165,0.015887511359777118,nan
3,-1277.4828369935585,-1283.367766265855,5.720731936362485,0.11724940906020419,-14.758876801782497,0.12658087417527136,0.022778960722109488,nan
4,-1278.1052127148716,-1283.9477949559578,5.677628032803741,0.146961928892558,-14.809281229908018,0.12646203781515317,0.029275938257465856,nan
5,-1278.5937455404062,-1284.5161198511023,5.756660357712802,0.17546684043169392,-14.857656765562831,0.1263433057621798,0.034963638985513544,nan
6,-1279.2311082313815,-1285.116119653655,5.718533941188593,0.2031247232062275,-14.90418358978442,0.1262246775900153,0.04037822588141747,nan
7,-1279.9248289165532,-1285.7661300897926,5.674057867638369,0.2298535574527555,-14.949038394473916,0.1261061534010519,0.04527259298850402,nan
8,-1280.5215248317195,-1286.3379045657002,5.648367769424059,0.25575724403822997,-14.992429221048948,0.1259877332716207,0.049785623309515935,nan
9,-1281.0828743845268,-1286.9386831180377,5.687027804824269,0.28055580834798666,-15.034624342579987,0.125869416896865,0.05400906131335959,nan
10,-1281.6356869301521,-1287.4886200620072,5.683387087448221,0.3040177055384992,-15.075788629324336,0.12575120396812067,0.05838207169206711,nan
11,-1282.244719790476,-1288.1242215130005,5.709193745995984,0.32632777108569777,-15.116092097246948,0.12563309427914093,0.06234108217345859,nan
12,-1282.8195003380542,-1288.7004750235317,5.709906216161645,0.3477526054410874,-15.155629500074026,0.1255150876883408,0.06627422901020612,nan
13,-1283.4489225936159,-1289.3036332506,5.682889032059756,0.3679344238573072,-15.194539475889203,0.12539718404215733,0.07006908552796064,nan
14,-1284.0523417733766,-1289.916963524864,5.692057430630265,0.3867829641962456,-15.232930177842691,0.1252793834033462,0.07355465831820748,nan
15,-1284.6561827137757,-1290.5071090937954,5.677631116037416,0.4043462375673671,-15.270881283098483,0.1251616853911897,0.07672536911795902,nan
16,-1285.1992622004236,-1291.0675169874157,5.694241188515448,0.42070037599551197,-15.308441041760165,0.12504409019538312,0.07952078198150613,nan
17,-1285.9269938031507,-1291.7176157995696,5.615904787734777,0.43580019670209674,-15.345697270073249,0.12492659723183777,0.08222896491842838,nan
18,-1286.5356643345558,-1292.3142501571535,5.60317629772895,0.449933803818167,-15.382693715741482,0.12480920704350101,0.08497935547665901,nan
19,-1286.9563553339872,-1292.8483047647774,5.7158712806742145,0.4624947728577155,-15.419469747457018,0.12469191938796698,0.08719272798375627,nan
20,-1287.6670756909616,-1293.47190264855,5.628094761220446,0.47407078272948683,-15.456054428209761,0.12457473352922774,0.08895700029808404,nan
21,-1288.4679711139172,-1294.164793675768,5.5194543215397465,0.4845301720668097,-15.492489496028176,0.12445764976423299,0.09024829420618229,nan
22,-1288.7517188671045,-1294.656533940181,5.726828724900868,0.49394367934504707,-15.528780948772066,0.12434066855875825,0.09131342549830132,nan
23,-1289.3679985986685,-1295.235170105254,5.688590324706433,0.5020889311850089,-15.564954860158995,0.12422378859783478,0.09216459024488402,nan
24,-1289.9892596910383,-1295.8459825154328,5.677568035837659,0.5091154232915803,-15.601031626804247,0.12410700995990433,0.09294804676575648,nan
25,-1290.5059131174473,-1296.4059038302848,5.720286064008636,0.5149384981932845,-15.637025361335128,0.1239903326759832,0.09367763525269451,nan
26,-1291.0689893472131,-1296.9955164271764,5.746290121350969,0.5198829642101388,-15.672959909317383,0.1238737564187952,0.0941044062790057,nan
27,-1291.789142230907,-1297.6289597201312,5.659065731034844,0.5239705407488826,-15.708844219561094,0.1237572810512783,0.09425485811483376,nan
28,-1292.3359818677236,-1298.2131062048873,5.695875037799327,0.5272324722523373,-15.744679449765508,0.1236409069632268,0.09414118661805355,nan
29,-1292.991219703958,-1298.8462534600258,5.673302169053619,0.529772764934623,-15.780476032233691,0.12352463392084563,0.09391332160014818,nan
30,-1293.4051287730388,-1299.3736303025867,5.786302446434688,0.5316278396313849,-15.816226287940122,0.12340846205791021,0.09365524739660101,nan
31,-1294.1669382139721,-1300.031731813769,5.682144004290025,0.5326944530089925,-15.851943664033737,0.12329239050546299,0.09338201800748976,nan
32,-1294.6982229007297,-1300.5827803598438,5.701469211032984,0.5332165826098311,-15.887630061139925,0.12317642009876544,0.09302853936865504,nan
33,-1295.315389087085,-1301.1774475933346,5.678545844908616,0.5330778117556837,-15.923296973144051,0.1230605502874649,0.09266864584943274,nan
34,-1295.8807847537353,-1301.7544825078617,5.6897631191544695,0.5328239075927306,-15.958958009805551,0.12294478109935218,0.09239312567049775,nan
35,-1296.4906143235544,-1302.3729979972413,5.698031509157233,0.5323621425242074,-15.994610426938543,0.12282911222577778,0.09190053742659972,nan
36,-1297.1418393035842,-1302.9653096307634,5.63870860696392,0.5315261192135005,-16.030254002224613,0.12271354370882985,0.0913034726399376,nan
37,-1297.6503993636343,-1303.5724495901618,5.73688434124341,0.5304300954784175,-16.065898912740224,0.12259807572264912,0.0906986979463732,nan
38,-1298.1890597560227,-1304.1264287643705,5.751804658316718,0.5290700451385975,-16.10152361193921,0.12248270794620544,0.08989833253407783,nan
39,-1298.7857157882609,-1304.7294448233915,5.757766384565029,0.5277020124461438,-16.13713561119058,0.12236743996291678,0.0889739166996973,nan
40,-1299.357305769158,-1305.3222114552186,5.778543615815892,0.5263850276316063,-16.172738206303443,0.12225227188380708,0.08786255318297298,nan
41,-1300.2228355261905,-1306.0182136444198,5.608620352104804,0.5248909230829264,-16.20832781486107,0.12213720348133664,0.08690056337420203,nan
42,-1300.6887579018205,-1306.555614223238,5.679703314865747,0.523380720279793,-16.243893309679557,0.12202223588532167,0.08581931727019215,nan
43,-1301.19154855248,-1307.119160365339,5.740062150260064,0.5219306395561176,-16.27945779571258,0.12190736856110874,0.08505252175270459,nan
44,-1301.7965880286854,-1307.7182683320225,5.733736387945824,0.520360401732467,-16.315016684287023,0.12179260089477101,0.08429564129787481,nan
45,-1302.5483082017379,-1308.3819206802605,5.645276075774491,0.5186980701245004,-16.35057274131769,0.12167793287398629,0.083575169761308,nan
46,-1303.0487004342388,-1308.9322004553178,5.6947732860176306,0.5169403131643951,-16.38609776301526,0.12156336492339767,0.08297123001781151,nan
47,-1303.8128269310066,-1309.582002778632,5.580058285387672,0.5151989795713996,-16.421618839557972,0.12144889670772276,0.08247066870093196,nan
48,-1304.1588979742655,-1310.0822947690813,5.733888263596851,0.5134621189231618,-16.457127324763743,0.12133452884910284,0.08206837953858866,nan
49,-1304.7439197177653,-1310.6809431661381,5.7471214848723005,0.5118360155602263,-16.49263544591505,0.12122026005329453,0.08191629441351918,nan
50,-1305.415494442142,-1311.3074402749726,5.701647740368702,0.5103304237376786,-16.528147871136902,0.12110609039839453,0.08185066897549997,nan
51,-1306.0156274634492,-1311.9202611014398,5.713937078261681,0.5089349656607676,-16.56365419511139,0.12099202022156177,0.08154647298335364,nan
52,-1306.5497738274692,-1312.4630263367492,5.722155560736412,0.5076369979641542,-16.59914266915788,0.12087804929509567,0.08131358355188799,nan
53,-1307.2159803557738,-1313.113358972541,5.705877181607615,0.5065272134026868,-16.63464275734829,0.12076417739029228,0.08096481217878736,nan
54,-1307.5828359467089,-1313.6181778076543,5.843435546603176,0.5054386736399828,-16.67012916164036,0.12065040480233029,0.08071457139155495,nan
55,-1308.3907789906145,-1314.3080552192869,5.724966098595319,0.5042884207638806,-16.70562021551064,0.1205367303927099,0.08060193822883666,nan
